QT	Question
OtherEffect	Can you have children if you have Ehlers-Danlos syndrome?
Diagnosis	Can you help me find information on the diagnosis of secondary (non-genetic) paroxysmal nonkinesigenic dyskinesia?
Diagnosis	How it is diagnosed?
Information	Can you inform me about hereditary geniospasm?
Information	Can you please post information on Mondini dysplasia?
Susceptibility	Can you please post information on the genetics behind it?
Information	Can you please provide information about Wagner syndrome?
Information	Can you please provide me with general information about hyper IgD syndrome?
PersonOrg	Can you please provide me with some doctors that specialize in primary ciliary dyskinesia?
PersonOrg	Can you please provide me with some doctors that have knowledge treating this disorder?
Information	Can you please provide some general information about McCune-Albright syndrome?
Information	Can you please send me all new information about the disease?
Information	Can you please send me any information you have concerning symptomatic pineal cyst?
Management	What would gene therapy entail?
Management	Can you please tell me if it is possible to have gene therapy for my condition?
Information	Can you please tell me more about Primrose syndrome?
OtherEffect	Can you point me to information that links papillary thyroid cancer with familial adenomatous polyposis (FAP) / Gardner syndrome?
PersonOrg	How can I find a researcher who is knowledgeable about this condition?
PersonOrg	How can I find a physician who is knowledgeable about this condition?
Information	Can you provide me with general information about acute intermittent porphyria?
Information	Can you provide me with general information about choreoacanthocytosis?
Information	Can you provide me with information about 17q23.1q23.2 microdeletion syndrome?
Management	Can they be cured?
Information	Are these tumors benign?
Information	Can you provide me with information about Brenner tumors of the ovary?
Information	Can you provide me with information about glycogen storage disease type 2?
Information	Can you provide me with information about Harlequin syndrome?
Information	Can you provide me with information about protein S deficiency?
Information	Can you provide me with information about situs inversus?
Information	Can you provide me with information about transverse myelitis?
Information	Where can I access articles related to this condition?
Information	Where can I access case studies related to this condition?
Information	Can you provide me with information about X-linked periventricular heterotopia?
Prognosis	What might the long term effects be?
Management	Can this condition be treated?
Information	Can you provide me with more information on congenital microcoria?
Information	Can you provide me with some general information about Bell's palsy?
Susceptibility	Can you provide me with the latest figures for patients with antiphospholipid syndrome in the United States?
Susceptibility	Can you provide me with in the United Kingdom?
Susceptibility	Can you provide me with as well as the percentage of the world population affected by this condition?
PersonOrg	Are there support organizations that I can visit to connect with others with this diagnosis?
PersonOrg	Are there support chat rooms that I can visit to connect with others with this diagnosis?
Information	Can you provide updated information about Best vitelliform macular dystrophy?
Information	Can you tell me anything about hidradenocarcinoma?
Susceptibility	If scientists believe this is not possible, what evidence is there for this?
Susceptibility	Can you tell me if variant Creutzfeldt-Jakob disease (vCJD) can be sexually transmitted?
Information	Can you tell me more about neuroaxonal dystrophy, infantile?
OtherEffect	Could I have gender issues because of craniofrontonasal dysplasia?
OtherEffect	Could someone with a mild case of Turner syndrome have occasional monthly menses?
Diagnosis	Could you please let me know the name of the blood test used to diagnose a vitiligo carrier?
Diagnosis	Could you please let me know the name of the blood test used to identify a vitiligo carrier?
Diagnosis	Could you please let me know the name of the genetic test used to diagnose a vitiligo carrier?
Diagnosis	Could you please let me know the name of the genetic test used to identify a vitiligo carrier?
Information	Could you please provide information about Bannayan-Riley-Ruvalcaba syndrome?
Information	Could you please provide me with information about Thiele syndrome, an eponym for coccygodynia (also called coccydynia)?
Management	What do they do to address this problem?
Other	How does this work?
Other	I would like to know why that is?
Information	Could you please send any and all information on Cystic Fibrosis.
Information	Could you please send me information on hypoaldosteronism?
Information	Could you please send me some informations about adenylosuccinase deficiency?
Management	Could you please tell me if there is any treatment?
Information	Could you please tell me more about benign rolandic epilepsy?
Information	Could you provide information on Barth syndrome?
Information	Could you provide me with information on Morgagni-Stewart-Morel syndrome?
Information	Could you tell me in laymen's terms what is Brody disease?
Diagnosis	Are the criteria for diagnosis different for children than adults?
Diagnosis	How many of these particular symptoms is required for a positive diagnosis to be established?
Manifestation	Could you tell me some of the symptoms of cardiomyopathy hypogonadism collagenoma syndrome?
Information	Could you tell me which site I could look at to find the most recent data on neuroblastoma epidemiology?
Susceptibility	Could you tell me which site I could look at to find the most recent data on neuroblastoma epidemiology; in particular the prevalence in the United States?
Susceptibility	Could you tell me which site I could look at to find the most recent data on neuroblastoma epidemiology; in particular the prevalence in Europe?
Information	Could you tell me which database I could look at to find the most recent data on neuroblastoma epidemiology?
Susceptibility	Could you tell me which database I could look at to find the most recent data on neuroblastoma epidemiology; in particular the prevalence in the United States?
Susceptibility	Could you tell me which database I could look at to find the most recent data on neuroblastoma epidemiology; in particular the prevalence in Europe?
Information	Could you tell me which scientific reference I could look at to find the most recent data on neuroblastoma epidemiology?
Susceptibility	Could you tell me which scientific reference I could look at to find the most recent data on neuroblastoma epidemiology; in particular the prevalence in the United States?
Susceptibility	Could you tell me which scientific reference I could look at to find the most recent data on neuroblastoma epidemiology; in particular the prevalence in Europe?
Prognosis	Is there any shortening of the lifespan associated with this condition?
Prognosis	Do children with Cat Eye Syndrome generally experience a decline in physical abilities as they reach adulthood?
OtherEffect	Do children with Karsch-Neugebauer syndrome have other medical issues?
OtherEffect	Do children with Karsch-Neugebauer syndrome have other cognitive issues?
Susceptibility	What are the chances for a woman with 47 XXX syndrome to have a child with the same condition?
OtherEffect	Does 47 XXX syndrome affect fertility?
Susceptibility	Does a father who develops ALS in his late forties have an increased risk for his son to have ALS?
Susceptibility	Does a father who develops ALS in his late forties have an increased risk for future generations to have ALS?
Diagnosis	If a family member is affected, should other members of the family be tested?
Susceptibility	Does CREST syndrome run in families?
OtherEffect	Is there any relation between gigantism and enlarged uterus with myohyperplasia?
OtherEffect	Does excess growth hormone have an effect on the uterus?
Management	Does exercise work to maintain muscle tone for individuals with lipid storage myopathy?
Management	Does exercise work to build muscle tone for individuals with lipid storage myopathy?
Management	Does physical therapy work to maintain muscle tone for individuals with lipid storage myopathy?
Management	Does physical therapy work to build muscle tone for individuals with lipid storage myopathy?
Complication	Does propionic acidemia carry risk factors for hearing loss, especially progressive hearing loss?
OtherEffect	Does protein S deficiency have anything to do with FSGS?
OtherEffect	Does the menstrual cycle happen earlier in Prader-Willi syndrome?
Information	What is the difference between the types of MOPD in terms of genetics?
Other	Does the "M" in MOPD stand for microcephaly or Majewski?
Manifestation	Does the multicentric form of Castleman's disease always cause symptoms?
Cause	What causes this condition to develop inside the womb?
Management	Are young children with thyroglossal cyst suitable for surgery?
Management	Are there treatment options other than surgery?
OtherEffect	Does thyroglossal cyst cause weight-loss?
Prognosis	What are the odds of an individual who has been an alcoholic for over 30 years recovering from this condition?
Prognosis	Does Wernicke-Korsakoff syndrome affect a person's ability to walk?
Prognosis	Does Wernicke-Korsakoff syndrome affect a person's ability to feed themselves?
Prognosis	Does Wernicke-Korsakoff syndrome affect a person's ability to move?
OtherEffect	Are there cases where normal intellectual abilities have been noted?
OtherEffect	Do individuals with adducted thumb and clubfoot syndrome automatically have cognitive deficiencies?
Prognosis	I have not read or heard of relapses in this disease, but as it is similar to MS, wondered whether this is a possibility or whether the illness itself is progressing and I will therefore have to learn to accept it.
Prognosis	Do people with CMT type 1A relapse or does the illness just progress to a more advanced stage?
Management	Do you have any cures for lipedema?
OtherEffect	Is this normal?
Management	Is there any cure for this disease?
Management	Is there any treatment for this disease?
Susceptibility	How does one contract this disease?
Information	Do you have any information about CVID?
Information	Do you have any information about internal carotid agenesis?
Information	Do you have any information about Michelin tire baby syndrome?
Information	Do you have any information on MURCS association?
Information	Do you have any information on the stages of progressive primary aphasia (PPA) semantic variant?
Information	Do you have any information on this syndrome?
Information	Do you have information about Fine-Lubinsky syndrome?
Information	Do you have information granuloma annulare?
Information	Do you have information on acheiropody?
Information	Do you have information on MOPD Type I that I could share with a family I know?
PersonOrg	How can I find an expert in my area?
Management	Do you have information on treatment options for florid cemento-osseous dysplasia?
Prognosis	Do you have more information about the prognosis for hypokalemic periodic paralysis?
OtherEffect	Are these issues related to Duane syndrome?
Information	I am interested in any information for this condition.
Information	I am interested in any research studies for this condition.
Management	I am interested in any treatments for this condition.
Management	What can I do to get the help needed to improve the well being of my boys and myself?
Diagnosis	Why, after 24 years, was I just diagnosed?
OtherEffect	Why is my youngest son affected much worse than myself?
OtherEffect	Why is my youngest son affected much worse than my oldest son?
Management	I still don't know what to do about treatment.
OtherEffect	Can Kawasaki syndrome cause behavioral problems?
OtherEffect	Can Kawasaki syndrome slow a child's development?
Other	Does this type of infection get reported to the department of health?
Susceptibility	Could this be a hospital acquired infection?
Prognosis	For individuals with Prader Willi syndrome, how does this condition affect their lives when they get older?
Cause	Has a genetic cause of familial yellow nail syndrome been discovered?
OtherEffect	Has any correlation been found between cryoglobulinemia and protein S deficiency?
OtherEffect	What about cancer?
OtherEffect	Has TAR syndrome been associated with white cell abnormalities in the bone marrow?
Information	Are there any good resources that you could direct me to for more information?
Information	Is there any research that you could direct me to for more information?
Information	My front teeth feel like they are being compressed and it is very painful, but nothing I read about cherubism mentions pain; is there information anywhere about this?
OtherEffect	Has there been any genetic link found between Noonan syndrome and cherubism?
Susceptibility	What is its prevalence?
Management	Have there been any advances in the treatment of this disease?
OtherEffect	Have there been any children diagnosed with LADD syndrome who also have autism?
Management	Have there been any documented beneficial results with manual treatments for Aicardi-Goutieres syndrome?
Management	Have there been any documented beneficial results with manual treatments, such as integrated neuromuscular re-education, for Aicardi-Goutieres syndrome?
Information	I am concerned for all the females in my extended family and would be interested in any information you could offer.
Susceptibility	Have there been any specific genetic findings concerning vulvar cancer?
Management	Have any benefits been identified?
Management	Have any pitfalls been identified?
Management	Have there been any trials involving plasma exchange to treat antiphospholipid antibody syndrome?
Management	Have you heard anything regarding experimental stem cell therapy for Charcot-Marie-Tooth disease?
Management	Have you heard anything regarding experimental gene therapy for Charcot-Marie-Tooth disease?
Other	How did Zellweger Syndrome get its name?
Other	When did Zellweger Syndrome get its name?
PersonOrg	How can I find a doctor experienced in treating this condition?
Management	How are colloid cysts of the third ventricle treated?
Management	How can I cure my nail of anonychia congenita and get a fresh, good nail?
PersonOrg	How can I find a physician with expertise in ALPS to see my adult son?
Management	Are there any dietary supplements that have been used to treat polyarteritis nodosa?
Management	Are there any other alternative therapies that have been used to treat polyarteritis nodosa?
Management	How can I find information on treatment for polyarteritis nodosa?
PersonOrg	How can I find other families with children with Blount disease?
Information	How can I find out more about the status of research on inflammatory myfibroblastic tumor?
Information	How can I find research studies on trichotillomania?
Management	How can I find treatment studies on trichotillomania?
Management	Is gene therapy available for myotonia congenita?
Information	How can I learn about research involving myotonia congenita?
Information	How can I learn about research involving primary ciliary dyskinesia?
Information	How can I learn about research involving Kartagener syndrome?
PersonOrg	How can I learn about research opportunities at the National Institutes of Health (NIH) that are enrolling children with Proteus syndrome?
Information	How can I learn more about learning disabilities in women with Turner syndrome?
Information	How can I learn more about learning disabilities in girls with Turner syndrome?
Management	How can I learn more about the pull-through operation for Hirschsprung disease?
PersonOrg	How can I meet other families with children with Russell-Silver syndrome?
Management	Is there any research being done to find a treatment for this condition?
Management	Is there any research being done to find a cure for this condition?
Management	How can I obtain information about treatment options for familial idiopathic basal ganglia calcification (FIBGC)?
Management	How can I reduce the pain associated with this condition?
Management	How can I treat fibromyalgia?
Information	How does one know what type of retinitis pigmentosa they have if their condition is inherited, developed in childhood, and their parents don't have it?
Prognosis	How can one anticipate the progression of their disorder, as in how bad their condition is?
Diagnosis	How can you detect Freeman Sheldon syndrome?
Management	Is there a cure?
Management	Is there any treatment?
Susceptibility	How common is congenital anosmia?
Prognosis	What is the average lifespan for people with this diagnosis?
Susceptibility	How many people in the United States have this diagnosis?
Susceptibility	How common is corpus callosum agenesis?
Susceptibility	How common is Kohler disease?
Management	How might this condition be managed?
Management	How might this condition be managed (for instance, should complex carbohydrates be avoided)?
Susceptibility	How common is lactate dehydrogenase A deficiency?
Information	Are there any studies regarding this condition?
Susceptibility	How common is Sertoli cell-only syndrome?
Susceptibility	How common is spitz nevi in children near 7 years-old?
OtherEffect	Can it be linked to prematurity as a cause?
Susceptibility	How common or rare is this condition?
Manifestation	Is severe myopia one of the main symptoms?
Other	How did Knobloch syndrome get its name?
Diagnosis	How do doctors test for erythromelalgia?
OtherEffect	How does androgen insensitivity syndrome affect gender identity?
Diagnosis	When should MRI's be used to look for disease affecting the interior?
Diagnosis	When should X-rays be used to look for disease affecting the interior?
Management	At what point should Methotrexate be used to treat FUMHD?
Management	How do doctors determine whether or not the treatments being administered for FUMD are working?
Manifestation	What are the signs that someone has FUMHD?
Manifestation	What are the symptoms that someone has FUMHD?
Other	At what point does the disease stop being PLEVA and become FUMHD?
Diagnosis	How can doctors ensure they have not wrongly diagnosed someone that has FUMHD (in my loved one FUMHD was confused with chicken pox)?
Diagnosis	If it is genetic, can other children of the same parents be tested for it?
Diagnosis	How is a person tested for FUMHD?
Susceptibility	How does a person contract FUMHD?
Prognosis	How does cardiofaciocutaneous syndrome affect an individual's livelihood?
Management	Are there certain foods that should be avoided?
Management	How does diet affect lichen sclerosus?
Cause	Which gene is associated with it?
Susceptibility	How, if it is not inherited, does it come about?
Susceptibility	How does Klippel Trenaunay syndrome (KTS) occur?
Diagnosis	How does one get tested for pityriasis lichenoides chronica?
OtherEffect	How does Sturge-Weber syndrome affect adults?
NotDisease	Are some TP53 genes mutated worse than others?
Cause	Is it a gradual generational erosion of gene integrity finally resulting in the full mutation that causes this syndrome?
Cause	Does it have environmental causes?
Susceptibility	Is the TP53 gene mutation a sudden and spontaneous mutation at conception?
Susceptibility	How does this syndrome begin in a lineage?
Management	How do I get rid of MYH 9 related thrombocytopenia?
Susceptibility	How do people inherit pseudoachondroplasia?
Management	How is the effectiveness of colchicine monitored?
Diagnosis	How is amyloidosis diagnosed in those with familial Mediterranean fever?
Diagnosis	How is diabetic mastopathy diagnosed?
Management	How is diabetic mastopathy treated?
Information	How can I learn more about research?
Management	How is fibrosing mediastinitis treated?
Management	What can I do for maintanence?
Management	Are there over-the-counter drugs that will help?
Management	How is Fox-Fordyce disease treated?
Management	How can I learn more about clinical trials investigating new treatments for retinitis pigmentosa?
Management	How can I learn more about research studies investigating new treatments for retinitis pigmentosa?
Management	Does gene therapy involve transplanting healthy human eye cells in the diseased retina?
Management	How is gene therapy being used to treat conditions like retinitis pigmentosa?
Susceptibility	How rare is this disease?
Diagnosis	How is immunodysregulation polyendocrinopathy enteropathy x-linked (IPEX) found in a woman's body?
PersonOrg	How can I get my loved one seen at the National Institutes of Health?
PersonOrg	Are there any new research studies enrolling people with N-acetylglutamate synthase deficiency?
Susceptibility	How is N-acetylglutamate synthase deficiency inherited?
Susceptibility	How is neurofibromatosis inherited?
Diagnosis	How is optic neuritis diagnosed?
Management	How is it treated?
Diagnosis	How is orotic aciduria type I diagnosed?
Prognosis	What is the prognosis for patients with this condition?
Management	How is pseudotumor cerebri treated?
Diagnosis	How is Rotor syndrome diagnosed?
Diagnosis	How is the diagnosis of Shwachman-Diamond syndrome confirmed?
Prognosis	What is the long-term outlook for individuals with this condition?
Management	How is trigeminal neuralgia treated?
Management	Can it be treated or not?
Management	How is yellow nail syndrome treated?
Cause	What causes polyembryoma?
Management	How might this condition be treated?
Prognosis	What is the prognosis for polyembryoma?
Susceptibility	How many cases of polyembryoma have been reported worldwide?
Prognosis	What is the prognosis for this condition?
Prognosis	Will this get worse with every seizure?
Prognosis	Will my child always have develomental delay?
Susceptibility	How many cases of schizencephaly have been reported in Florida?
Susceptibility	How many cases of schizencephaly have been reported in worldwide?
PersonOrg	Are there any HMD support groups?
Information	Is there any research on HMD in progress?
Susceptibility	How many individuals in the United States have been diagnosed with hereditary mucoepithelial dysplasia (HMD)?
Susceptibility	How many people are affected by Alexander disease?
Susceptibility	How many people are affected by dysfibrinogenemia?
Susceptibility	How many people are diagnosed with myostatin-related muscle hypertrophy?
Susceptibility	How many people have acute promyelocytic leukemia?
Susceptibility	How many people have been diagnosed with Christianson syndrome?
Susceptibility	How many people in the world have potassium aggravated myotonia?
Prognosis	What is the mortality rate?
Susceptibility	How many individuals have this condition?
Susceptibility	Is the condition more likely to occur in certain groups of people?
Cause	How are they caused?
Information	How many types of pachyonychia congenita are there?
Prognosis	How might ataxia telangiectasia affect a person's ability to move?
Prognosis	How might ataxia telangiectasia affect a person's ability to speak?
Management	How might Brown-Sequard syndrome be treated?
Management	How might Brown syndrome be treated?
Management	How might Crohn's disease be treated?
Management	How might Eagle syndrome be treated?
Management	How might Maffucci syndrome be treated?
Management	How might multicentric Castleman's disease be treated?
